               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1339,            0.015613,            0.058242,                   0,                   0,                   0,                   0,             0.13835,            0.013789,            0.055778,              0.0002,              0.0002,              0.0982
                   1,             0.13307,            0.014486,            0.056232,                   0,                   0,                   0,                   0,             0.13627,             0.01471,            0.054734,          0.00049975,          0.00049975,              0.0955
                   2,             0.13254,            0.017038,            0.055003,                   0,                   0,                   0,                   0,             0.13282,            0.016042,            0.052797,          0.00079921,          0.00079921,            0.092799
                   3,             0.12745,            0.017038,            0.055179,                   0,                   0,                   0,                   0,             0.12862,            0.017787,            0.050706,           0.0010984,           0.0010984,            0.090098
                   4,             0.12574,            0.019534,            0.052631,                   0,                   0,                   0,                   0,              0.1257,            0.018901,             0.04984,           0.0013972,           0.0013972,            0.087397
                   5,             0.12149,            0.021752,            0.050695,           0.0054054,            0.023438,          0.00097283,          0.00016017,             0.12042,            0.020596,            0.046902,           0.0016958,           0.0016958,            0.084696
                   6,             0.11977,            0.019422,            0.050085,           0.0067419,            0.046875,           0.0021839,          0.00053989,             0.11708,             0.02141,             0.04479,           0.0019941,           0.0019941,            0.081994
                   7,             0.12015,            0.024321,            0.049093,           0.0052318,            0.023438,            0.001403,          0.00032998,              0.1156,            0.021989,            0.042426,            0.002292,            0.002292,            0.079292
                   8,             0.11288,            0.024995,            0.044493,            0.019255,             0.02916,           0.0042993,          0.00080252,             0.11023,            0.023029,             0.03989,           0.0025897,           0.0025897,             0.07659
                   9,             0.11206,            0.023346,            0.043702,            0.020403,             0.10738,           0.0096803,           0.0016705,             0.10531,            0.024066,            0.038089,           0.0028871,           0.0028871,            0.073887
                  10,              0.1089,            0.027318,            0.043227,            0.018419,             0.08446,           0.0082369,           0.0020063,             0.11402,            0.023073,            0.035499,           0.0031842,           0.0031842,            0.071184
                  11,             0.11066,            0.022895,            0.039385,            0.027648,             0.12934,            0.016133,           0.0028207,             0.10122,            0.024288,            0.033899,           0.0034809,           0.0034809,            0.068481
                  12,             0.10179,            0.025823,            0.038999,            0.018199,             0.07265,            0.010459,           0.0020122,             0.10263,            0.023852,            0.031181,           0.0037774,           0.0037774,            0.065777
                  13,             0.10407,             0.02498,            0.034757,             0.29789,            0.039062,            0.022528,            0.004009,             0.10791,            0.022957,            0.029953,           0.0040736,           0.0040736,            0.063074
                  14,             0.10791,            0.027416,            0.032331,            0.036263,             0.11875,            0.026564,           0.0043347,             0.10488,             0.02344,            0.027214,           0.0043695,           0.0043695,             0.06037
                  15,             0.10213,            0.026357,            0.030992,            0.039949,             0.17673,            0.035985,           0.0062519,             0.10601,            0.022392,            0.026427,           0.0046651,           0.0046651,            0.057665
                  16,            0.096786,            0.024356,            0.028891,            0.023561,             0.32897,            0.022895,            0.003276,             0.10432,            0.022407,            0.024503,           0.0049604,           0.0049604,             0.05496
                  17,            0.097376,            0.025891,            0.026505,            0.032221,             0.31664,            0.032886,           0.0046872,             0.11238,            0.020668,            0.023881,           0.0052554,           0.0052554,            0.052255
                  18,             0.10627,            0.022576,            0.025954,              0.3274,             0.23098,             0.07249,            0.014012,            0.094727,            0.024477,            0.021852,           0.0055501,           0.0055501,             0.04955
                  19,            0.094482,            0.022617,              0.0246,             0.29048,             0.23955,            0.039885,            0.007306,             0.11286,            0.022155,            0.020601,           0.0058445,           0.0058445,            0.046845
                  20,             0.10395,            0.024451,            0.024937,             0.41175,             0.34336,             0.18281,            0.034846,              0.1051,             0.02283,             0.01929,           0.0061386,           0.0061386,            0.044139
                  21,            0.098341,            0.023007,            0.023151,             0.42272,             0.32696,             0.16113,            0.033596,             0.10236,            0.021785,            0.018027,           0.0064324,           0.0064324,            0.041432
                  22,            0.096652,            0.022188,            0.021515,             0.34489,             0.24998,            0.099895,            0.019622,             0.10932,            0.021111,             0.01632,           0.0067259,           0.0067259,            0.038726
                  23,            0.099211,            0.020288,            0.022142,             0.36066,              0.2569,             0.12498,            0.035869,              0.1091,             0.01786,            0.014794,           0.0070192,           0.0070192,            0.036019
                  24,             0.10092,            0.019788,            0.022712,             0.32005,             0.27151,            0.072046,            0.015519,            0.097888,            0.019901,            0.013618,           0.0073121,           0.0073121,            0.033312
                  25,             0.09194,            0.020784,            0.018142,            0.073854,             0.85097,              0.1109,             0.02399,            0.094006,            0.021287,            0.013083,           0.0076047,           0.0076047,            0.030605
                  26,            0.086804,            0.024438,            0.018727,             0.33461,              0.3497,             0.10527,            0.024022,            0.096816,            0.020036,            0.011933,            0.007897,            0.007897,            0.027897
                  27,            0.088456,            0.023664,            0.017566,             0.60062,             0.30414,             0.33566,             0.10049,            0.093042,            0.020627,            0.011698,           0.0081891,           0.0081891,            0.025189
                  28,            0.086422,            0.022288,            0.017481,             0.60062,             0.30414,             0.33566,             0.10049,            0.093042,            0.020627,            0.011698,           0.0084808,           0.0084808,            0.022481
                  29,            0.082477,            0.022665,             0.01681,             0.65156,             0.32432,             0.34977,              0.1093,            0.087679,            0.021309,             0.01127,           0.0087722,           0.0087722,            0.019772
                  30,            0.086119,            0.023206,            0.017034,             0.67095,             0.27361,             0.30865,             0.10306,            0.095749,            0.019638,            0.010637,           0.0090634,           0.0090634,            0.017063
                  31,            0.086906,            0.021242,            0.015279,             0.42926,             0.27854,              0.2195,            0.056334,            0.099509,            0.019819,             0.01008,           0.0093542,           0.0093542,            0.014354
                  32,            0.096611,             0.02236,            0.015534,             0.42926,             0.27854,              0.2195,            0.056334,            0.099509,            0.019819,             0.01008,           0.0096448,           0.0096448,            0.011645
                  33,            0.089308,            0.021299,             0.01515,             0.45103,              0.4416,             0.44674,             0.13097,            0.093089,            0.020442,           0.0093842,           0.0098367,           0.0098367,           0.0098367
                  34,            0.088714,            0.021115,            0.015356,             0.44781,             0.25216,              0.2315,            0.066998,             0.09956,            0.018462,           0.0087783,           0.0098367,           0.0098367,           0.0098367
                  35,            0.090701,            0.021546,            0.013636,             0.47817,             0.38624,             0.29974,            0.087056,             0.09721,            0.018365,           0.0082792,           0.0098317,           0.0098317,           0.0098317
